15974, 4230, 5760
3284, 2070, 2835
2925, 1035, 2565
3104, 855, 2340
2835, 810, 2610
2789, 900, 2700
2835, 855, 2610
2790, 810, 2340
2924, 855, 2295
2789, 810, 2295
2790, 855, 2385
2835, 855, 2340
2790, 810, 2430
2834, 855, 2520
4140, 855, 2340
2790, 855, 3735
2790, 855, 2340
2879, 855, 2385
2790, 855, 2340
2745, 855, 2295
2790, 855, 2295
2745, 855, 2340
2789, 855, 2385
3015, 855, 2430
2789, 855, 2295
2745, 900, 2385
3105, 855, 2340
2745, 855, 2520
2789, 855, 2295
2745, 810, 2340
2789, 855, 2340
2790, 855, 2295
3015, 855, 2340
3015, 855, 2475
2789, 900, 2565
2834, 900, 3150
2834, 855, 2340
2745, 855, 2295
3014, 900, 2475
2835, 855, 2295
2789, 810, 2340
2745, 810, 2655
2790, 810, 2565
2790, 810, 2565
2924, 855, 2340
2834, 855, 2340
3105, 810, 2295
3060, 810, 2385
2790, 855, 2295
2790, 810, 2295
3150, 810, 2340
2835, 810, 2340
2834, 810, 2340
2790, 810, 2340
2790, 810, 2565
2745, 810, 2520
2745, 855, 2295
2790, 810, 2340
3059, 810, 2340
2835, 855, 2295
2745, 855, 2295
2790, 810, 2520
2789, 810, 2295
2745, 855, 2295
2789, 810, 2340
2789, 810, 2340
3015, 855, 2385
3015, 810, 2340
2745, 810, 2340
2789, 810, 2295
3015, 810, 2655
3914, 810, 2610
2790, 855, 3375
2789, 810, 2565
3014, 900, 2340
3104, 855, 2340
3060, 855, 2430
2744, 855, 2430
2789, 810, 2610
2789, 810, 2295
3015, 810, 2565
2745, 855, 2610
2789, 855, 2340
2835, 855, 2565
3059, 900, 2340
3104, 855, 2340
2790, 810, 2295
2790, 855, 2520
2835, 855, 2340
3059, 855, 2565
2790, 810, 2340
2835, 810, 2340
3014, 855, 2340
3015, 810, 2385
2789, 855, 2295
2970, 855, 2565
2834, 810, 2520
2790, 855, 2340
2834, 810, 2340
2924, 810, 2565
2789, 855, 2295
2835, 810, 3195
2790, 855, 2520
2789, 855, 2340
2790, 810, 2520
3060, 855, 2655
2789, 855, 2430
3060, 855, 2430
3059, 855, 2475
3059, 810, 2655
2789, 855, 2475
2790, 810, 2385
3104, 855, 3510
2835, 855, 2520
2834, 855, 3150
3104, 855, 2520
2880, 855, 2295
2835, 810, 2340
2835, 855, 2295
2835, 855, 2340
2879, 810, 2340
3240, 1665, 4635
5715, 1710, 4545
5670, 1620, 4590
5670, 1035, 2475
2970, 810, 2250
2745, 810, 2250
2970, 810, 2295
3015, 810, 2295
2790, 810, 2295
2745, 855, 2250
2745, 765, 2295
2700, 810, 2295
2700, 855, 2385
2744, 810, 2475
2745, 810, 2295
2744, 810, 2340
3195, 810, 2340
2970, 810, 2295
2970, 855, 2385
2744, 855, 2250
2700, 810, 2340
2745, 810, 2295
2700, 810, 2385
2655, 810, 2250
2969, 810, 2295
2969, 855, 2295
3014, 810, 2250
3015, 810, 2385
3014, 810, 2340
3015, 765, 2340
3014, 765, 2340
3014, 810, 2340
2744, 855, 2295
2970, 810, 2430
2700, 900, 2565
3014, 810, 2475
3015, 810, 3510
3015, 810, 2565
2970, 810, 2385
2744, 810, 2295
2745, 855, 2340
2744, 855, 2295
2700, 855, 2295
2744, 855, 2295
2699, 810, 2520
2700, 810, 2340
2744, 855, 2250
2700, 855, 2250
2700, 855, 2340
2700, 855, 2340
3014, 810, 2340
2745, 810, 2295
